2021-01-12 10:13:22 status config-files openssl:amd64 1.1.0l-1~deb9u2
2021-01-12 10:13:22 status config-files openssl:amd64 1.1.0l-1~deb9u2
2021-01-12 10:13:22 status config-files openssl:amd64 1.1.0l-1~deb9u2
2021-01-12 10:13:22 status not-installed openssl:amd64 <none>
2021-01-12 10:13:22 purge wget:amd64 1.18-5+deb9u3 <none>
2021-01-12 10:13:22 status config-files wget:amd64 1.18-5+deb9u3
2021-01-12 10:13:22 status config-files wget:amd64 1.18-5+deb9u3
2021-01-12 10:13:22 status config-files wget:amd64 1.18-5+deb9u3
2021-01-12 10:13:22 status config-files wget:amd64 1.18-5+deb9u3
2021-01-12 10:13:22 status config-files wget:amd64 1.18-5+deb9u3
2021-01-12 10:13:22 status not-installed wget:amd64 <none>
2021-01-12 10:13:22 purge ca-certificates:all 20200601~deb9u1 <none>
2021-01-12 10:13:22 status config-files ca-certificates:all 20200601~deb9u1
2021-01-12 10:13:22 status config-files ca-certificates:all 20200601~deb9u1
2021-01-12 10:13:22 status config-files ca-certificates:all 20200601~deb9u1
2021-01-12 10:13:22 status config-files ca-certificates:all 20200601~deb9u1
2021-01-12 10:13:22 status config-files ca-certificates:all 20200601~deb9u1
2021-01-12 10:13:22 status not-installed ca-certificates:all <none>
2021-01-12 10:13:22 startup packages configure
